sequence_id	membership_class	population	exact_sequence_present	best_hit_target	best_hit_identity	best_hit_query_coverage	best_hit_target_coverage	best_hit_evalue	leakage_class	population_role	unit	denominator
PDB_9D4S_1	ANCHOR	gold171	NO	gold_t1320	0.2310	0.6690	0.7530	1.88e-10	DISTANT_OR_NO_HIT	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
PDB_6ME0_3	ANCHOR	gold171	NO	gold_t348	0.2650	0.4630	0.4720	7.06e-13	DISTANT_OR_NO_HIT	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
PDB_5G2X_3	ANCHOR	gold171	NO	gold_t812	0.2700	0.2950	0.5280	9.03e-08	DISTANT_OR_NO_HIT	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
PDB_5HHL_1	ANCHOR	gold171	NO	gold_t1190	0.2510	0.6750	0.3290	1.96e-14	DISTANT_OR_NO_HIT	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
PDB_5HHJ_1	ANCHOR	gold171	NO	gold_t1190	0.2510	0.6590	0.3360	1.31e-13	DISTANT_OR_NO_HIT	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
PDB_7V9U_1	ANCHOR	gold171	NO	gold_t1550	1.0000	0.9220	1.0000	5.78e-195	NEAR_DUPLICATE_GE_90	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
PDB_9I2F_2	ANCHOR	gold171	NO	gold_t1036	1.0000	0.9830	0.9070	0.00e+00	NEAR_DUPLICATE_GE_90	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
PDB_9E8Z_3	ANCHOR	gold171	YES	gold_t64	1.0000	1.0000	1.0000	3.26e-206	EXACT_DUPLICATE	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
PDB_9N69_2	ANCHOR	gold171	NO	gold_t44	0.4750	0.9970	0.8830	9.39e-90	REMOTE_GE_30	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
PDB_9L7P_2	ANCHOR	gold171	NO	gold_t6	0.6800	0.9970	0.9970	7.10e-140	MODERATE_GE_50	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
PDB_23OR_1	ANCHOR	gold171	NO	gold_t749	0.4140	0.9490	0.9670	1.90e-90	REMOTE_GE_30	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
RETRON_t816	ANCHOR	gold171	YES	gold_t816	1.0000	1.0000	1.0000	1.63e-226	EXACT_DUPLICATE	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
RETRON_t1520	ANCHOR	gold171	YES	gold_t1520	1.0000	1.0000	1.0000	1.65e-257	EXACT_DUPLICATE	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
RETRON_t443	ANCHOR	gold171	YES	gold_t443	1.0000	1.0000	1.0000	1.59e-228	EXACT_DUPLICATE	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
RETRON_t1450	ANCHOR	gold171	YES	gold_t1450	1.0000	1.0000	1.0000	4.75e-234	EXACT_DUPLICATE	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
RETRON_t482	ANCHOR	gold171	YES	gold_t482	1.0000	1.0000	1.0000	2.30e-214	EXACT_DUPLICATE	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
RETRON_t1429	ANCHOR	gold171	YES	gold_t1429	1.0000	1.0000	1.0000	8.42e-228	EXACT_DUPLICATE	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
RETRON_t430	ANCHOR	gold171	YES	gold_t430	1.0000	1.0000	1.0000	1.49e-226	EXACT_DUPLICATE	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
RETRON_t1453	ANCHOR	gold171	YES	gold_t1453	1.0000	1.0000	1.0000	2.18e-232	EXACT_DUPLICATE	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
RETRON_t815	ANCHOR	gold171	YES	gold_t815	1.0000	1.0000	1.0000	5.75e-226	EXACT_DUPLICATE	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
RETRON_t1143	ANCHOR	gold171	YES	gold_t1143	1.0000	1.0000	1.0000	0.00e+00	EXACT_DUPLICATE	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
RETRON_t808	ANCHOR	gold171	YES	gold_t808	1.0000	1.0000	1.0000	2.48e-232	EXACT_DUPLICATE	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
RETRON_t1100	ANCHOR	gold171	YES	gold_t1100	1.0000	1.0000	1.0000	0.00e+00	EXACT_DUPLICATE	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
RETRON_t400	ANCHOR	gold171	YES	gold_t400	1.0000	1.0000	1.0000	1.88e-230	EXACT_DUPLICATE	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
RETRON_t1195	ANCHOR	gold171	YES	gold_t1195	1.0000	1.0000	1.0000	0.00e+00	EXACT_DUPLICATE	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
RETRON_t1190	ANCHOR	gold171	YES	gold_t1190	1.0000	1.0000	1.0000	0.00e+00	EXACT_DUPLICATE	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
RETRON_t1163	ANCHOR	gold171	YES	gold_t1163	1.0000	1.0000	1.0000	0.00e+00	EXACT_DUPLICATE	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
RETRON_t812	ANCHOR	gold171	YES	gold_t812	1.0000	1.0000	1.0000	5.86e-207	EXACT_DUPLICATE	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
UNIPROT_P0DV89	ANCHOR	gold171	YES	gold_t553	1.0000	1.0000	1.0000	6.11e-255	EXACT_DUPLICATE	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
RETRON_t1049	ANCHOR	gold171	YES	gold_t1049	1.0000	1.0000	1.0000	0.00e+00	EXACT_DUPLICATE	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
RETRON_t208	ANCHOR	gold171	YES	gold_t208	1.0000	1.0000	1.0000	2.19e-212	EXACT_DUPLICATE	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
RETRON_t803	ANCHOR	gold171	YES	gold_t803	1.0000	1.0000	1.0000	4.59e-224	EXACT_DUPLICATE	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
RETRON_t824	ANCHOR	gold171	YES	gold_t824	1.0000	1.0000	1.0000	2.51e-229	EXACT_DUPLICATE	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
RETRON_t257	ANCHOR	gold171	YES	gold_t257	1.0000	1.0000	1.0000	9.35e-203	EXACT_DUPLICATE	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
RETRON_t953	ANCHOR	gold171	YES	gold_t953	1.0000	1.0000	1.0000	0.00e+00	EXACT_DUPLICATE	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
RETRON_t290	ANCHOR	gold171	YES	gold_t290	1.0000	1.0000	1.0000	5.12e-212	EXACT_DUPLICATE	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
UNIPROT_P71276	ANCHOR	gold171	NO	gold_t488	1.0000	0.9660	1.0000	6.53e-258	NEAR_DUPLICATE_GE_90	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
RETRON_t1732	ANCHOR	gold171	YES	gold_t1732	1.0000	1.0000	1.0000	2.41e-305	EXACT_DUPLICATE	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
RETRON_t1710	ANCHOR	gold171	YES	gold_t1710	1.0000	1.0000	1.0000	0.00e+00	EXACT_DUPLICATE	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
RETRON_t1673	ANCHOR	gold171	YES	gold_t1673	1.0000	1.0000	1.0000	0.00e+00	EXACT_DUPLICATE	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
RETRON_t1928	ANCHOR	gold171	YES	gold_t1928	1.0000	1.0000	1.0000	0.00e+00	EXACT_DUPLICATE	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
RETRON_t1894	ANCHOR	gold171	YES	gold_t1894	1.0000	1.0000	1.0000	1.95e-286	EXACT_DUPLICATE	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
RETRON_t161	ANCHOR	gold171	YES	gold_t161	1.0000	1.0000	1.0000	2.83e-301	EXACT_DUPLICATE	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
RETRON_t1703	ANCHOR	gold171	YES	gold_t1703	1.0000	1.0000	1.0000	0.00e+00	EXACT_DUPLICATE	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
RETRON_t1687	ANCHOR	gold171	YES	gold_t1687	1.0000	1.0000	1.0000	0.00e+00	EXACT_DUPLICATE	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
RETRON_t1323	ANCHOR	gold171	YES	gold_t1323	1.0000	1.0000	1.0000	2.41e-262	EXACT_DUPLICATE	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
RETRON_t1374	ANCHOR	gold171	YES	gold_t1374	1.0000	1.0000	1.0000	1.16e-260	EXACT_DUPLICATE	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
RETRON_t1352	ANCHOR	gold171	YES	gold_t1352	1.0000	1.0000	1.0000	4.23e-260	EXACT_DUPLICATE	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
RETRON_t1353	ANCHOR	gold171	YES	gold_t1353	1.0000	1.0000	1.0000	2.69e-264	EXACT_DUPLICATE	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
RETRON_t1421	ANCHOR	gold171	YES	gold_t1421	1.0000	1.0000	1.0000	7.23e-267	EXACT_DUPLICATE	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
RETRON_t1609	ANCHOR	gold171	YES	gold_t1609	1.0000	1.0000	1.0000	0.00e+00	EXACT_DUPLICATE	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
RETRON_t1391	ANCHOR	gold171	YES	gold_t1391	1.0000	1.0000	1.0000	5.93e-263	EXACT_DUPLICATE	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
RETRON_t1294	ANCHOR	gold171	YES	gold_t1294	1.0000	1.0000	1.0000	2.90e-268	EXACT_DUPLICATE	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
RETRON_t1422	ANCHOR	gold171	YES	gold_t1422	1.0000	1.0000	1.0000	1.07e-264	EXACT_DUPLICATE	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
RETRON_t749	ANCHOR	gold171	YES	gold_t749	1.0000	1.0000	1.0000	7.24e-244	EXACT_DUPLICATE	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
UNIPROT_P0DV94	ANCHOR	gold171	NO	gold_t64	0.4790	0.9210	0.9290	1.67e-87	REMOTE_GE_30	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
PDB_9YFD_1	ANCHOR	gold171	NO	gold_t1484	0.3210	0.1110	0.3020	3.19e-08	REMOTE_GE_30	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
PDB_9WY8_1	ANCHOR	gold171	NO	gold_t864	0.2730	0.1390	0.2340	5.36e-05	DISTANT_OR_NO_HIT	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
PDB_24NC_1	ANCHOR	gold171	NO	gold_t398	0.3020	0.1330	0.1620	1.53e-05	REMOTE_GE_30	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
PDB_9LJE_1	ANCHOR	gold171	NO	gold_t398	0.2950	0.4240	0.3630	4.38e-13	DISTANT_OR_NO_HIT	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
PDB_8BGJ_1	ANCHOR	gold171	NO	gold_t400	0.3290	0.7100	0.4520	1.29e-18	REMOTE_GE_30	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
PDB_9IOA_2	ANCHOR	gold171	NO	gold_t1525	0.2360	0.6210	0.8580	1.76e-12	DISTANT_OR_NO_HIT	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
PDB_9Z6Z_1	ANCHOR	gold171	NO	gold_t298	0.2970	0.2910	0.4710	5.87e-09	DISTANT_OR_NO_HIT	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
PDB_26CZ_1	ANCHOR	gold171	NO	NO_HIT					DISTANT_OR_NO_HIT	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
PDB_9Z6Z_2	ANCHOR	gold171	NO	gold_t530	0.2670	0.2340	0.3470	1.11e-05	DISTANT_OR_NO_HIT	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
CAND_AbiK_16	CANDIDATE	gold171	NO	NO_HIT					DISTANT_OR_NO_HIT	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
CAND_AbiK_31	CANDIDATE	gold171	NO	NO_HIT					DISTANT_OR_NO_HIT	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
CAND_AbiK_51	CANDIDATE	gold171	NO	gold_t808	0.2960	0.2060	0.3650	2.37e-04	DISTANT_OR_NO_HIT	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
CAND_AbiK_98	CANDIDATE	gold171	NO	gold_t812	0.2780	0.2110	0.4010	2.44e-09	DISTANT_OR_NO_HIT	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
CAND_AbiP2_108	CANDIDATE	gold171	NO	gold_t1525	0.3330	0.1450	0.2390	3.14e-06	REMOTE_GE_30	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
CAND_AbiP2_172	CANDIDATE	gold171	NO	gold_t298	0.2240	0.2670	0.5040	4.14e-07	DISTANT_OR_NO_HIT	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
CAND_AbiP2_208	CANDIDATE	gold171	NO	NO_HIT					DISTANT_OR_NO_HIT	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
CAND_AbiP2_270	CANDIDATE	gold171	NO	gold_t1525	0.2730	0.1600	0.2390	2.07e-06	DISTANT_OR_NO_HIT	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
CAND_AbiP2_81	CANDIDATE	gold171	NO	gold_t401	0.2500	0.2450	0.3770	6.34e-07	DISTANT_OR_NO_HIT	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
CAND_CRISPR_33	CANDIDATE	gold171	NO	gold_t308	0.3460	0.1710	0.2990	4.06e-07	REMOTE_GE_30	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
CAND_CRISPR_47	CANDIDATE	gold171	NO	gold_t314	0.2310	0.4950	0.6180	6.02e-06	DISTANT_OR_NO_HIT	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
CAND_CRISPR_58	CANDIDATE	gold171	NO	gold_t418	0.2420	0.4590	0.5370	2.02e-07	DISTANT_OR_NO_HIT	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
CAND_CRISPR_62	CANDIDATE	gold171	NO	gold_t1321	0.2600	0.3110	0.3420	2.24e-05	DISTANT_OR_NO_HIT	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
CAND_DGRs_11	CANDIDATE	gold171	NO	gold_t1484	0.3170	0.1890	0.2330	4.42e-05	REMOTE_GE_30	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
CAND_DGRs_4	CANDIDATE	gold171	NO	gold_t308	0.3250	0.2390	0.4030	3.51e-09	REMOTE_GE_30	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
CAND_DGRs_6	CANDIDATE	gold171	NO	gold_t308	0.2670	0.3330	0.4530	2.28e-04	DISTANT_OR_NO_HIT	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
CAND_DGRs_9	CANDIDATE	gold171	NO	NO_HIT					DISTANT_OR_NO_HIT	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
CAND_G2L4_1	CANDIDATE	gold171	NO	gold_t962	0.2780	0.2660	0.2830	7.59e-08	DISTANT_OR_NO_HIT	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
CAND_G2L4_4	CANDIDATE	gold171	NO	gold_t308	0.2390	0.2680	0.4910	9.47e-05	DISTANT_OR_NO_HIT	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
CAND_G2L4_5	CANDIDATE	gold171	NO	gold_t1925	0.2710	0.3880	0.5340	6.94e-08	DISTANT_OR_NO_HIT	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
CAND_G2L4_68	CANDIDATE	gold171	NO	gold_t1627	0.2700	0.6280	0.6050	1.27e-11	DISTANT_OR_NO_HIT	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
CAND_G2L_57	CANDIDATE	gold171	NO	gold_t398	0.3700	0.1790	0.1710	1.68e-10	REMOTE_GE_30	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
CAND_G2L_87	CANDIDATE	gold171	NO	NO_HIT					DISTANT_OR_NO_HIT	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
CAND_UG10_12	CANDIDATE	gold171	NO	gold_t888	0.3200	0.1420	0.1190	1.84e-07	REMOTE_GE_30	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
CAND_UG10_26	CANDIDATE	gold171	NO	gold_t376	0.2290	0.6100	0.7930	1.18e-10	DISTANT_OR_NO_HIT	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
CAND_UG11_61	CANDIDATE	gold171	NO	gold_t763	0.2520	0.5960	0.5870	1.98e-11	DISTANT_OR_NO_HIT	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
CAND_UG11_70	CANDIDATE	gold171	NO	gold_t1520	0.2340	0.7650	0.5560	5.49e-12	DISTANT_OR_NO_HIT	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
CAND_UG12_12	CANDIDATE	gold171	NO	gold_t418	0.3190	0.2490	0.3870	4.28e-11	REMOTE_GE_30	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
CAND_UG12_147	CANDIDATE	gold171	NO	gold_t1484	0.3570	0.1550	0.2330	6.26e-06	REMOTE_GE_30	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
CAND_UG12_21	CANDIDATE	gold171	NO	gold_t1925	0.2400	0.3380	0.4890	2.22e-07	DISTANT_OR_NO_HIT	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
CAND_UG12_230	CANDIDATE	gold171	NO	NO_HIT					DISTANT_OR_NO_HIT	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
CAND_UG12_3	CANDIDATE	gold171	NO	gold_t208	0.2910	0.1830	0.4120	2.41e-06	DISTANT_OR_NO_HIT	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
CAND_UG12_37	CANDIDATE	gold171	NO	gold_t975	0.2640	0.3550	0.3770	2.77e-07	DISTANT_OR_NO_HIT	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
CAND_UG13_0	CANDIDATE	gold171	NO	gold_t370	0.2860	0.2190	0.3270	6.48e-07	DISTANT_OR_NO_HIT	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
CAND_UG13_16	CANDIDATE	gold171	NO	gold_t848	0.2530	0.2900	0.5140	3.57e-06	DISTANT_OR_NO_HIT	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
CAND_UG13_30	CANDIDATE	gold171	NO	gold_t817	0.3680	0.7560	0.5740	2.16e-29	REMOTE_GE_30	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
CAND_UG14_43	CANDIDATE	gold171	NO	gold_t482	0.2540	0.4790	0.6440	4.49e-06	DISTANT_OR_NO_HIT	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
CAND_UG15_123	CANDIDATE	gold171	NO	gold_t866	0.2380	0.2680	0.2590	2.26e-04	DISTANT_OR_NO_HIT	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
CAND_UG15_31	CANDIDATE	gold171	NO	gold_t401	0.2680	0.2470	0.3540	2.78e-05	DISTANT_OR_NO_HIT	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
CAND_UG15_42	CANDIDATE	gold171	NO	gold_t6	0.2940	0.2310	0.4320	6.81e-06	DISTANT_OR_NO_HIT	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
CAND_UG15_65	CANDIDATE	gold171	NO	gold_t208	0.2750	0.2440	0.4180	4.07e-07	DISTANT_OR_NO_HIT	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
CAND_UG15_74	CANDIDATE	gold171	NO	gold_t208	0.2720	0.2420	0.4120	5.95e-05	DISTANT_OR_NO_HIT	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
CAND_UG16_41	CANDIDATE	gold171	NO	gold_t1520	0.2680	0.2650	0.3630	2.06e-12	DISTANT_OR_NO_HIT	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
CAND_UG16_60	CANDIDATE	gold171	NO	gold_t1525	0.2580	0.3560	0.5810	1.24e-06	DISTANT_OR_NO_HIT	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
CAND_UG16_91	CANDIDATE	gold171	NO	gold_t418	0.2700	0.2870	0.4180	1.09e-05	DISTANT_OR_NO_HIT	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
CAND_UG17_254	CANDIDATE	gold171	NO	gold_t418	0.2850	0.2230	0.2990	2.31e-05	DISTANT_OR_NO_HIT	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
CAND_UG17_289	CANDIDATE	gold171	NO	gold_t1718	0.2360	0.5640	0.4790	1.14e-07	DISTANT_OR_NO_HIT	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
CAND_UG17_32	CANDIDATE	gold171	NO	gold_t1291	0.2550	0.2070	0.4550	4.69e-07	DISTANT_OR_NO_HIT	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
CAND_UG18_36	CANDIDATE	gold171	NO	gold_t1525	0.2200	0.2610	0.4750	1.25e-06	DISTANT_OR_NO_HIT	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
CAND_UG18_58	CANDIDATE	gold171	NO	gold_t1531	0.2730	0.3600	0.4840	5.26e-09	DISTANT_OR_NO_HIT	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
CAND_UG19_156	CANDIDATE	gold171	NO	gold_t812	0.2810	0.4170	0.7280	8.73e-12	DISTANT_OR_NO_HIT	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
CAND_UG19_20	CANDIDATE	gold171	NO	gold_t844	0.2530	0.3480	0.7280	2.92e-08	DISTANT_OR_NO_HIT	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
CAND_UG19_229	CANDIDATE	gold171	NO	gold_t1513	0.2460	0.4090	0.6300	4.07e-07	DISTANT_OR_NO_HIT	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
CAND_UG1_12	CANDIDATE	gold171	NO	gold_t1100	0.2600	0.3880	0.3330	2.87e-08	DISTANT_OR_NO_HIT	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
CAND_UG1_3	CANDIDATE	gold171	NO	gold_t288	0.2550	0.2180	0.4750	1.32e-08	DISTANT_OR_NO_HIT	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
CAND_UG1_8	CANDIDATE	gold171	NO	gold_t298	0.2460	0.4060	0.7880	1.12e-08	DISTANT_OR_NO_HIT	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
CAND_UG20_0	CANDIDATE	gold171	NO	gold_t803	0.2790	0.2330	0.3570	1.23e-09	DISTANT_OR_NO_HIT	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
CAND_UG20_1	CANDIDATE	gold171	NO	gold_t1484	0.2500	0.2880	0.4330	5.29e-07	DISTANT_OR_NO_HIT	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
CAND_UG20_2	CANDIDATE	gold171	NO	gold_t1513	0.2620	0.2550	0.4330	2.73e-06	DISTANT_OR_NO_HIT	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
CAND_UG21_13	CANDIDATE	gold171	NO	gold_t370	0.2770	0.2250	0.3380	2.86e-07	DISTANT_OR_NO_HIT	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
CAND_UG21_25	CANDIDATE	gold171	NO	gold_t1502	0.2270	0.3360	0.5520	5.48e-09	DISTANT_OR_NO_HIT	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
CAND_UG22_1	CANDIDATE	gold171	NO	gold_t1531	0.2660	0.2410	0.4840	2.07e-11	DISTANT_OR_NO_HIT	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
CAND_UG22_14	CANDIDATE	gold171	NO	gold_t1531	0.2730	0.2630	0.4770	5.45e-11	DISTANT_OR_NO_HIT	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
CAND_UG22_46	CANDIDATE	gold171	NO	gold_t398	0.2750	0.3170	0.3950	2.22e-10	DISTANT_OR_NO_HIT	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
CAND_UG23_4	CANDIDATE	gold171	NO	gold_t1912	0.2760	0.3360	0.4730	7.84e-08	DISTANT_OR_NO_HIT	the retron literature challenge panel	old-seed sequence vs one population	167 seed sequences vs 171 in gold171
